Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_percentage_cpu_average;azure_percentage_cpu_count;azure_percentage_cpu_maximum;azure_percentage_cpu_minimum;azure_percentage_cpu_total,The percentage of allocated compute units that are currently in use by the Virtual Machine(s),Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_available_memory_bytes_average;azure_available_memory_bytes_count;azure_available_memory_bytes_maximum;azure_available_memory_bytes_minimum;azure_available_memory_bytes_total,"Amount of physical memory, in bytes, immediately available for allocation to a process or for system use in the Virtual Machine",Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_network_in_average;azure_network_in_count;azure_network_in_maximum;azure_network_in_minimum;azure_network_in_total,The number of billable bytes received on all network interfaces by the Virtual Machine(s) (Incoming Traffic) (Deprecated),Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_network_out_average;azure_network_out_count;azure_network_out_maximum;azure_network_out_minimum;azure_network_out_total,The number of billable bytes out on all network interfaces by the Virtual Machine(s) (Outgoing Traffic) (Deprecated),Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_os_disk_bandwidth_consumed_percentage_average;azure_os_disk_bandwidth_consumed_percentage_count;azure_os_disk_bandwidth_consumed_percentage_maximum;azure_os_disk_bandwidth_consumed_percentage_minimum;azure_os_disk_bandwidth_consumed_percentage_total,Percentage of operating system disk bandwidth consumed per minute,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_lun,average
azure_cpu_credits_consumed_average;azure_cpu_credits_consumed_count;azure_cpu_credits_consumed_maximum;azure_cpu_credits_consumed_minimum;azure_cpu_credits_consumed_total,Total number of credits consumed by the Virtual Machine. Only available on B-series burstable VMs,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_cpu_credits_remaining_average;azure_cpu_credits_remaining_count;azure_cpu_credits_remaining_maximum;azure_cpu_credits_remaining_minimum;azure_cpu_credits_remaining_total,Total number of credits available to burst. Only available on B-series burstable VMs,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_data_disk_read_bytes/sec_average;azure_data_disk_read_bytes/sec_count;azure_data_disk_read_bytes/sec_maximum;azure_data_disk_read_bytes/sec_minimum;azure_data_disk_read_bytes/sec_total,Bytes/Sec read from a single disk during monitoring period,BytesPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_lun,average
azure_data_disk_read_operations/sec_average;azure_data_disk_read_operations/sec_count;azure_data_disk_read_operations/sec_maximum;azure_data_disk_read_operations/sec_minimum;azure_data_disk_read_operations/sec_total,Read IOPS from a single disk during monitoring period,CountPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_lun,average
azure_data_disk_write_bytes/sec_average;azure_data_disk_write_bytes/sec_count;azure_data_disk_write_bytes/sec_maximum;azure_data_disk_write_bytes/sec_minimum;azure_data_disk_write_bytes/sec_total,Bytes/Sec written to a single disk during monitoring period,BytesPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_lun,average
azure_data_disk_write_operations/sec_average;azure_data_disk_write_operations/sec_count;azure_data_disk_write_operations/sec_maximum;azure_data_disk_write_operations/sec_minimum;azure_data_disk_write_operations/sec_total,Write IOPS from a single disk during monitoring period,CountPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_lun,average
azure_data_disk_bandwidth_consumed_percentage_average;azure_data_disk_bandwidth_consumed_percentage_count;azure_data_disk_bandwidth_consumed_percentage_maximum;azure_data_disk_bandwidth_consumed_percentage_minimum;azure_data_disk_bandwidth_consumed_percentage_total,Percentage of data disk bandwidth consumed per minute,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_lun,average
azure_data_disk_iops_consumed_percentage_average;azure_data_disk_iops_consumed_percentage_count;azure_data_disk_iops_consumed_percentage_maximum;azure_data_disk_iops_consumed_percentage_minimum;azure_data_disk_iops_consumed_percentage_total,Percentage of data disk I/Os consumed per minute,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_lun,average
azure_data_disk_max_burst_bandwidth_average;azure_data_disk_max_burst_bandwidth_count;azure_data_disk_max_burst_bandwidth_maximum;azure_data_disk_max_burst_bandwidth_minimum;azure_data_disk_max_burst_bandwidth_total,Maximum bytes per second throughput Data Disk can achieve with bursting,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_lun,average
azure_data_disk_max_burst_iops_average;azure_data_disk_max_burst_iops_count;azure_data_disk_max_burst_iops_maximum;azure_data_disk_max_burst_iops_minimum;azure_data_disk_max_burst_iops_total,Maximum IOPS Data Disk can achieve with bursting,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_lun,average
azure_data_disk_queue_depth_average;azure_data_disk_queue_depth_count;azure_data_disk_queue_depth_maximum;azure_data_disk_queue_depth_minimum;azure_data_disk_queue_depth_total,Data Disk Queue Depth(or Queue Length),Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_lun,average
azure_data_disk_target_bandwidth_average;azure_data_disk_target_bandwidth_count;azure_data_disk_target_bandwidth_maximum;azure_data_disk_target_bandwidth_minimum;azure_data_disk_target_bandwidth_total,Baseline bytes per second throughput Data Disk can achieve without bursting,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_lun,average
azure_data_disk_target_iops_average;azure_data_disk_target_iops_count;azure_data_disk_target_iops_maximum;azure_data_disk_target_iops_minimum;azure_data_disk_target_iops_total,Baseline IOPS Data Disk can achieve without bursting,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_lun,average
azure_data_disk_used_burst_bps_credits_percentage_average;azure_data_disk_used_burst_bps_credits_percentage_count;azure_data_disk_used_burst_bps_credits_percentage_maximum;azure_data_disk_used_burst_bps_credits_percentage_minimum;azure_data_disk_used_burst_bps_credits_percentage_total,Percentage of Data Disk burst bandwidth credits used so far,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_lun,average
azure_data_disk_used_burst_io_credits_percentage_average;azure_data_disk_used_burst_io_credits_percentage_count;azure_data_disk_used_burst_io_credits_percentage_maximum;azure_data_disk_used_burst_io_credits_percentage_minimum;azure_data_disk_used_burst_io_credits_percentage_total,Percentage of Data Disk burst I/O credits used so far,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_lun,average
azure_disk_read_bytes_average;azure_disk_read_bytes_count;azure_disk_read_bytes_maximum;azure_disk_read_bytes_minimum;azure_disk_read_bytes_total,Bytes read from disk during monitoring period,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_disk_read_operations/sec_average;azure_disk_read_operations/sec_count;azure_disk_read_operations/sec_maximum;azure_disk_read_operations/sec_minimum;azure_disk_read_operations/sec_total,Disk Read IOPS,CountPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_disk_write_bytes_average;azure_disk_write_bytes_count;azure_disk_write_bytes_maximum;azure_disk_write_bytes_minimum;azure_disk_write_bytes_total,Bytes written to disk during monitoring period,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_disk_write_operations/sec_average;azure_disk_write_operations/sec_count;azure_disk_write_operations/sec_maximum;azure_disk_write_operations/sec_minimum;azure_disk_write_operations/sec_total,Disk Write IOPS,CountPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_inbound_flows_average;azure_inbound_flows_count;azure_inbound_flows_maximum;azure_inbound_flows_minimum;azure_inbound_flows_total,Inbound Flows are number of current flows in the inbound direction (traffic going into the VM),Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_inbound_flows_maximum_creation_rate_average;azure_inbound_flows_maximum_creation_rate_count;azure_inbound_flows_maximum_creation_rate_maximum;azure_inbound_flows_maximum_creation_rate_minimum;azure_inbound_flows_maximum_creation_rate_total,The maximum creation rate of inbound flows (traffic going into the VM),CountPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_network_in_total_average;azure_network_in_total_count;azure_network_in_total_maximum;azure_network_in_total_minimum;azure_network_in_total_total,The number of bytes received on all network interfaces by the Virtual Machine(s) (Incoming Traffic),Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_network_out_total_average;azure_network_out_total_count;azure_network_out_total_maximum;azure_network_out_total_minimum;azure_network_out_total_total,The number of bytes out on all network interfaces by the Virtual Machine(s) (Outgoing Traffic),Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_os_disk_iops_consumed_percentage_average;azure_os_disk_iops_consumed_percentage_count;azure_os_disk_iops_consumed_percentage_maximum;azure_os_disk_iops_consumed_percentage_minimum;azure_os_disk_iops_consumed_percentage_total,Percentage of operating system disk I/Os consumed per minute,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_lun,average
azure_os_disk_max_burst_bandwidth_average;azure_os_disk_max_burst_bandwidth_count;azure_os_disk_max_burst_bandwidth_maximum;azure_os_disk_max_burst_bandwidth_minimum;azure_os_disk_max_burst_bandwidth_total,Maximum bytes per second throughput OS Disk can achieve with bursting,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_lun,average
azure_os_disk_max_burst_iops_average;azure_os_disk_max_burst_iops_count;azure_os_disk_max_burst_iops_maximum;azure_os_disk_max_burst_iops_minimum;azure_os_disk_max_burst_iops_total,Maximum IOPS OS Disk can achieve with bursting,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_lun,average
azure_os_disk_queue_depth_average;azure_os_disk_queue_depth_count;azure_os_disk_queue_depth_maximum;azure_os_disk_queue_depth_minimum;azure_os_disk_queue_depth_total,OS Disk Queue Depth(or Queue Length),Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_os_disk_read_bytes/sec_average;azure_os_disk_read_bytes/sec_count;azure_os_disk_read_bytes/sec_maximum;azure_os_disk_read_bytes/sec_minimum;azure_os_disk_read_bytes/sec_total,Bytes/Sec read from a single disk during monitoring period for OS disk,BytesPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_os_disk_read_operations/sec_average;azure_os_disk_read_operations/sec_count;azure_os_disk_read_operations/sec_maximum;azure_os_disk_read_operations/sec_minimum;azure_os_disk_read_operations/sec_total,Read IOPS from a single disk during monitoring period for OS disk,CountPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_os_disk_target_bandwidth_average;azure_os_disk_target_bandwidth_count;azure_os_disk_target_bandwidth_maximum;azure_os_disk_target_bandwidth_minimum;azure_os_disk_target_bandwidth_total,Baseline bytes per second throughput OS Disk can achieve without bursting,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_lun,average
azure_os_disk_target_iops_average;azure_os_disk_target_iops_count;azure_os_disk_target_iops_maximum;azure_os_disk_target_iops_minimum;azure_os_disk_target_iops_total,Baseline IOPS OS Disk can achieve without bursting,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_lun,average
azure_os_disk_used_burst_bps_credits_percentage_average;azure_os_disk_used_burst_bps_credits_percentage_count;azure_os_disk_used_burst_bps_credits_percentage_maximum;azure_os_disk_used_burst_bps_credits_percentage_minimum;azure_os_disk_used_burst_bps_credits_percentage_total,Percentage of OS Disk burst bandwidth credits used so far,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_lun,average
azure_os_disk_used_burst_io_credits_percentage_average;azure_os_disk_used_burst_io_credits_percentage_count;azure_os_disk_used_burst_io_credits_percentage_maximum;azure_os_disk_used_burst_io_credits_percentage_minimum;azure_os_disk_used_burst_io_credits_percentage_total,Percentage of OS Disk burst I/O credits used so far,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_lun,average
azure_os_disk_write_bytes/sec_average;azure_os_disk_write_bytes/sec_count;azure_os_disk_write_bytes/sec_maximum;azure_os_disk_write_bytes/sec_minimum;azure_os_disk_write_bytes/sec_total,Bytes/Sec written to a single disk during monitoring period for OS disk,BytesPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_os_disk_write_operations/sec_average;azure_os_disk_write_operations/sec_count;azure_os_disk_write_operations/sec_maximum;azure_os_disk_write_operations/sec_minimum;azure_os_disk_write_operations/sec_total,Write IOPS from a single disk during monitoring period for OS disk,CountPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_outbound_flows_average;azure_outbound_flows_count;azure_outbound_flows_maximum;azure_outbound_flows_minimum;azure_outbound_flows_total,Outbound Flows are number of current flows in the outbound direction (traffic going out of the VM),Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_outbound_flows_maximum_creation_rate_average;azure_outbound_flows_maximum_creation_rate_count;azure_outbound_flows_maximum_creation_rate_maximum;azure_outbound_flows_maximum_creation_rate_minimum;azure_outbound_flows_maximum_creation_rate_total,The maximum creation rate of outbound flows (traffic going out of the VM),CountPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_premium_data_disk_cache_read_hit_average;azure_premium_data_disk_cache_read_hit_count;azure_premium_data_disk_cache_read_hit_maximum;azure_premium_data_disk_cache_read_hit_minimum;azure_premium_data_disk_cache_read_hit_total,Premium Data Disk Cache Read Hit,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_lun,average
azure_premium_data_disk_cache_read_miss_average;azure_premium_data_disk_cache_read_miss_count;azure_premium_data_disk_cache_read_miss_maximum;azure_premium_data_disk_cache_read_miss_minimum;azure_premium_data_disk_cache_read_miss_total,Premium Data Disk Cache Read Miss,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_lun,average
azure_premium_os_disk_cache_read_hit_average;azure_premium_os_disk_cache_read_hit_count;azure_premium_os_disk_cache_read_hit_maximum;azure_premium_os_disk_cache_read_hit_minimum;azure_premium_os_disk_cache_read_hit_total,Premium OS Disk Cache Read Hit,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_premium_os_disk_cache_read_miss_average;azure_premium_os_disk_cache_read_miss_count;azure_premium_os_disk_cache_read_miss_maximum;azure_premium_os_disk_cache_read_miss_minimum;azure_premium_os_disk_cache_read_miss_total,Premium OS Disk Cache Read Miss,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_vm_cached_bandwidth_consumed_percentage_average;azure_vm_cached_bandwidth_consumed_percentage_count;azure_vm_cached_bandwidth_consumed_percentage_maximum;azure_vm_cached_bandwidth_consumed_percentage_minimum;azure_vm_cached_bandwidth_consumed_percentage_total,Percentage of cached disk bandwidth consumed by the VM,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_vm_cached_iops_consumed_percentage_average;azure_vm_cached_iops_consumed_percentage_count;azure_vm_cached_iops_consumed_percentage_maximum;azure_vm_cached_iops_consumed_percentage_minimum;azure_vm_cached_iops_consumed_percentage_total,Percentage of cached disk IOPS consumed by the VM,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_vm_uncached_bandwidth_consumed_percentage_average;azure_vm_uncached_bandwidth_consumed_percentage_count;azure_vm_uncached_bandwidth_consumed_percentage_maximum;azure_vm_uncached_bandwidth_consumed_percentage_minimum;azure_vm_uncached_bandwidth_consumed_percentage_total,Percentage of uncached disk bandwidth consumed by the VM,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_vm_uncached_iops_consumed_percentage_average;azure_vm_uncached_iops_consumed_percentage_count;azure_vm_uncached_iops_consumed_percentage_maximum;azure_vm_uncached_iops_consumed_percentage_minimum;azure_vm_uncached_iops_consumed_percentage_total,Percentage of uncached disk IOPS consumed by the VM,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
